App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver
My Editor App,House_And_Home,4,1,141.3,10,Free,0,Everyone,House And Home,21-04-2026,15.15.95
Easy Strike 3D,game,5,20,90.05,1000,Free,0,Mature 17+,Game;Strategy,02-04-2026,Varies with device
Lite Browser Go 2026,social,4.3,2,48.2,10,Free,0,Everyone,Artificial Intelligence,05-04-2026,13.11.21
AI Craft Go,Beauty,4,2,90.7,10,Free,0,Everyone,Beauty,26-02-2026,4.10.31
Pay_7224,Food_And_Drink,4.4,11,90.05,1000,Free,0,Teen,Food And Drink,31-10-2023,Varies with device
My Browser Space,Game  ,4.9,5,1147,100,Free,0,Everyone,Game;Card,05-01-2024,3.1.58
Pro Maker Online,  beauty  ,4.5,23,121,500,Free,0,Everyone,Beauty,23-11-2024,4.8.6
Player App 2024,Productivity,4.1,5,90.05,50,Free,0,Everyone,Productivity,03-07-2025,Varies with device
Pro VPN Premium,auto_and_vehicles,4.3,134,25.1,5000,Free,0,Teen,Auto And Vehicles,05-05-2026,13.12.45
Pro VPN Pro,Productivity,,2072,119.2,50000,Free,0,Everyone,Productivity;Creativity,09-01-2026,9.16.87
Meta Health Premium 2026,Music,4.3,5,23.5,100,Free,0,Everyone,Tools;Creativity,30-11-2025,8.10.64
Easy Fit Online,House_And_Home,3.7,181,145.6,10000,Free,0,Everyone,House And Home,19-11-2022,15.11.61
Crypto Maker Now,Social,4,2,113.4,50,Free,0,Everyone,Family,09-06-2025,12.15.55
Super VPN Pro,Game,4.8,30,343.6,1000,Free,0,Everyone,Game;Card,12-04-2026,2.15.27
Daily Tracker Max,Shopping,4.3,14,35.3,500,Free,0,Everyone,Shopping,26-12-2025,1.19.46
Next Spotify,Social,4.1,117,37,10000,Free,0,Everyone,Family;Creativity,25-09-2025,12.6.72
Quick Instagram 3D,  social  ,4.7,90,28,5000,Free,0,Everyone,Education,19-02-2025,13.12.12
Super Chat Space,Music,4,4,56.8,10,Free,0,Everyone,Tools,12-10-2024,8.4.84
My Dash Max,Game,4.7,33,90.05,1000,Free,0,Everyone,Game;Board,18-01-2026,Varies with device
Next Telegram,productivity,4.3,355,90.05,10000,Free,0,Teen,Productivity,08-06-2026,Varies with device
Browser Plus 2025,SHOPPING,3.1,275,53.5,10000,Free,0,Everyone,Shopping,28-03-2026,4.19.79
Editor Premium 2026,Social,4.2,3184,90.05,100000,Free,0,Teen,Family,02-10-2025,Varies with device
Meta Editor App,Game,4.1,18,1219.5,500,Free,0,Everyone,Game;RPG,24-04-2025,9.10.88
Quick Craft 2024,Social,4.3,2,5.7,100,Free,0,Everyone 10+,Artificial Intelligence,01-11-2023,14.12.64
Chat Plus,Productivity,4.7,2109,93.7,100000,Free,0,Everyone,Productivity,25-06-2026,14.17.34
Tracker Hub,social,4.1,4355,125.9,100000,Free,0,Everyone,Family,07-03-2025,5.1.75
Lite Tracker 3D,Social,3.5,19,6.8,500,Free,0,Everyone,Family,22-06-2026,3.7.16
Ultra Chat 3D,Finance,4,1,80.8,50,Free,0,Everyone,Finance,27-02-2026,12.4.35
Telegram 3D,Game,5,1536,1904.7,100000,Free,0,Teen,Game;Simulation,19-06-2026,7.1.44
Neo Health Now,  productivity  ,4,1,148.9,10,Free,0,Everyone,Productivity,27-05-2026,13.7.18
Smart Dash Max,Game,4.3,1,1876.7,50,Free,0,Everyone 10+,Game;Simulation,04-01-2026,12.11.42
Smart Pay,social,3.5,12785,136.6,500000,Free,0,Everyone,Artificial Intelligence,09-11-2025,14.10.26
Next Chat Now,FOOD_AND_DRINK,3.9,5,106.5,100,Free,0,Everyone,Food And Drink,21-02-2026,7.9.89
Chat 2023,Entertainment,4.1,1683,92.7,50000,Free,0,Everyone,Entertainment,09-01-2025,14.1.76
Neo Tracker App,Social,4.2,105,115.1,5000,Free,0,Everyone,Social,24-12-2024,7.2.99
Pro Fit Plus,Game,4.3,3,1173.5,10,Free,0,Everyone,Game;Card,29-07-2023,6.9.50
Health Plus 2025,Social,4,4,18.6,100,Free,0,Everyone,Family;Creativity,28-02-2026,15.19.86
Chat 2026,MUSIC,3.6,10,6.9,1000,Paid,4.99,Everyone,Tools;Creativity,13-12-2023,1.20.2
AI Browser,Food_And_Drink  ,3.95,3,14.6,500,Free,0,Everyone,Food And Drink,12-06-2026,4.10.23
Ultra Editor 2024,Game,3,3209,,100000,Free,0,Everyone,Game;Shooter,03-03-2026,Varies with device
Crypto Craft AI,  Finance,4,1,20.6,10,Free,0,Everyone,Finance,09-06-2026,6.5.35
Lite Drive Plus,Game,4.5,5,1211.8,10,Free,0,Everyone,Game;Action,02-03-2026,11.0.14
Smart Connect_9945,Game,3.9,44,90.05,1000,Free,0,Everyone,Game;Card,26-07-2024,Varies with device
Epic Dash,Game,3.6,3761,90.05,100000,Free,0,Everyone,Game;Casual,16-06-2025,Varies with device
Meta Chat,Finance,,3728,132.1,100000,Free,0,Everyone,Finance,21-02-2026,15.15.73
Ultra Dash Space,Game,4.3,3,969,10,Free,0,Everyone 10+,Game;Shooter,18-04-2026,10.11.32
Lite Instagram Go,Social,4,4,90.05,50,Free,0,Everyone 10+,Medical;Creativity,17-01-2024,Varies with device
Crypto Chat,Health_And_Fitness,3.5,72,98.6,5000,Free,0,Everyone 10+,Health And Fitness,01-07-2025,2.14.52
Neo Editor Online,Social,4.3,0,113.3,10,Free,0,Everyone,Artificial Intelligence;Creativity,11-02-2026,11.5.84
Crypto Tracker App,Social,3.8,6946,,500000,Paid,2.99,Everyone,Social,06-02-2024,13.19.80
AI Browser 3D 2025,  Social,3.9,1,137.9,50,Free,0,Everyone,Social;Creativity,19-07-2024,4.11.15
Super Editor Max,Libraries_And_Demo,3.95,1,88,100,Free,0,Everyone,Libraries And Demo,15-05-2026,14.1.64
Neo Learn Pro,Shopping,5,881,87.2,50000,Free,0,Everyone,Shopping,05-04-2024,12.14.12
Hyper VPN Premium,social,4,3927,125.4,100000,Free,0,Everyone,Family,10-11-2024,8.3.54
Neo Strike Online,Entertainment,4.6,5,43.6,50,Free,0,Everyone,Entertainment,24-07-2025,5.15.76
Lite Dash Premium,Dating,3.8,122,90.05,5000,Free,0,Adults only 18+,Dating,25-06-2025,Varies with device
Connect Now 2023,BOOKS_AND_REFERENCE,3.8,3,39.3,10,Free,0,Everyone,Books And Reference;Creativity,17-10-2024,3.3.26
Smart Telegram 2024,PHOTOGRAPHY,3.9,0,65.7,100,Free,0,Teen,Photography,20-12-2025,10.12.41
Smart Drive Max,Game,4.1,37,90.05,1000,Free,0,Teen,Game;Puzzle,19-03-2025,Varies with device
Meta Learn,  virtual_reality  ,4.4,13,272.6,1000,Free,0,Everyone,Virtual Reality,14-04-2026,14.1.8
Super Chat Go,Social,4.9,910,92.6,50000,Free,0,Everyone,Social;Creativity,03-04-2026,9.3.94
Super Drive 2023,SOCIAL,4,3,64.7,50,Free,0,Everyone 10+,Family,24-04-2025,6.1.98
Smart Chat App,Music,4.3,5,12.9,10,Free,0,Everyone,Tools;Creativity,07-12-2025,4.3.53
Crypto Player Premium,Music,5,16,95.9,500,Free,0,Everyone,Tools;Creativity,10-12-2025,13.19.90
Epic Instagram Online,  Social,,3,32.8,500,Free,0,Everyone 10+,Medical,26-12-2025,3.9.1
Neo Pay Online,Maps_And_Navigation,4.15,0,17.4,100,Free,0,Mature 17+,Maps And Navigation,17-06-2026,6.20.86
Ultra Drive Max,Social,5,8,88.8,500,Free,0,Everyone,Social,23-10-2025,6.9.32
Learn Hub,Social,4.5,205,57.5,5000,Free,0,Everyone,Family,13-12-2023,9.0.10
Easy Editor Go,Social,3.6,9145,135,500000,Free,0,Everyone,Family;Creativity,26-06-2026,2.4.41
My Fit 2024,Social,4,0,20.6,50,Free,0,Teen,Medical;Creativity,11-05-2026,7.7.72
Instagram AI,Social,3.2,63,30.6,10000,Free,0,Teen,Family;Creativity,13-02-2025,14.15.0
My Pay,Social,3.8,258,90.05,10000,Free,0,Everyone,Family;Creativity,28-05-2025,Varies with device
Pro Health 3D,Social,4.6,226,96.5,5000,Free,0,Everyone,Family,17-05-2025,4.8.99
My Maker,personalization,3.6,34,111.7,1000,Free,0,Everyone,Personalization,06-10-2025,2.13.72
Lite Dash 3D,Social,3.9,1,12.5,100,Free,0,Adults only 18+,Social;Creativity,13-07-2025,5.11.63
Browser Hub,Game  ,5,312503,942.5,10000000,Free,0,Everyone,Game;Casual,10-01-2024,8.2.72
Chat Pro 2025,  Music,2.7,21,21.6,500,Free,0,Everyone,Tools;Creativity,12-05-2024,11.6.30
Hyper Drive,  game  ,4.3,172,689.1,5000,Free,0,Everyone,Game;Shooter,02-04-2024,15.14.19
Easy TikTok,Social,4.2,0,64.1,100,Free,0,Everyone 10+,Education,09-11-2024,10.13.26
Hyper Learn Premium,Social,,22,44.1,500,Free,0,Everyone,Family,26-04-2026,8.6.5
Crypto Pay,Music,3.5,37124,137.4,1000000,Free,0,Everyone,Tools,07-07-2025,12.5.70
Hyper Maker Pro,Travel_And_Local,4,2,119.6,10,Free,0,Everyone,Travel And Local;Creativity,15-12-2024,4.4.6
Epic Pay Go 2026,Game,4.3,4,90.05,100,Free,0,Teen,Game;Strategy,15-08-2025,Varies with device
Telegram App 2023_2950,social,4,0,62.9,50,Free,0,Everyone,Family;Creativity,26-10-2025,12.16.51
Epic Wallet,Health_And_Fitness,4.3,178,147,5000,Free,0,Everyone,Health And Fitness,26-12-2023,15.2.81
Ultra Craft Online,FINANCE,4,4,,100,Free,0,Everyone,Finance,13-12-2024,11.20.81
Tracker Pro,Maps_And_Navigation,4.3,3869,60,500000,Free,0,Everyone,Maps And Navigation,03-05-2025,10.15.55
Maker 3D 2025,Social,3.7,956,86.3,50000,Free,0,Everyone,Family,27-07-2025,10.8.68
Easy Maker Max,Communication  ,4.2,32,94.1,1000,Free,0,Everyone,Communication,03-04-2023,9.0.94
Youtube,Social,4.8,1462981,76.2,50000000,Free,0,Everyone,Artificial Intelligence,24-05-2023,3.11.39
Neo Learn Online,Personalization,4,2337,35.8,50000,Free,0,Mature 17+,Personalization,19-11-2024,11.4.86
Meta Browser 2026,Social,3.6,4845,135.2,100000,Free,0,Everyone,Family,08-01-2024,1.6.87
Crypto Editor,Finance,4,4,8.3,100,Free,0,Everyone,Finance;Creativity,30-04-2026,15.12.68
Meta Maker Max,Parenting,4.3,1891,103.6,50000,Free,0,Teen,Parenting;Creativity,04-04-2026,4.13.35
Crypto Player 3D,BOOKS_AND_REFERENCE,4,97,110.9,5000,Free,0,Teen,Books And Reference;Creativity,18-03-2025,13.5.26
Pro Wallet,Comics,4,177,50.3,10000,Free,0,Everyone,Comics,02-03-2025,3.8.84
Hyper Pay,Social,4,977,29.4,50000,Free,0,Everyone,Medical,26-10-2025,4.14.89
Meta Craft,  Books_And_Reference,4,153,137.7,5000,Free,0,Everyone,Books And Reference,22-04-2026,6.16.7
Wallet Hub 2023,Game,5,5,90.05,100,Free,0,Everyone,Game;Board,09-06-2025,Varies with device
Chat Online,Game,5,1990072,321.5,50000000,Free,0,Everyone,Game;Action,17-09-2023,8.1.82
Neo Health Go,Game,4.3,0,1479.6,10,Free,0,Everyone,Game;Puzzle,17-05-2026,1.9.73
Fit Pro 2025,Events,3.8,4,15.8,50,Free,0,Everyone,Events;Creativity,23-08-2025,5.3.92
AI Telegram AI,  Social,3.4,27,21.7,1000,Free,0,Everyone,Family;Creativity,05-08-2024,6.6.69
Meta Chat Max,Game,4.3,0,1069.3,100,Free,0,Everyone,Game;RPG,28-10-2024,13.2.57
Dash Now,Music,4.7,3469,90.05,100000,Free,0,Everyone,Tools;Creativity,08-11-2024,Varies with device
AI Wallet Max,Video_Players,4.2,3,260.9,10,Free,0,Everyone,Video Players,05-10-2024,2.0.100
Browser Online,Game,3.4,796,1553.5,50000,Free,0,Everyone,Game;Strategy,10-04-2026,3.14.83
Next Chat Online,Social,4.9,18,60.3,500,Free,0,Everyone,Family,18-07-2024,9.0.48
Crypto Tracker,Music  ,3.7,19,9.9,1000,Free,0,Everyone,Tools,07-03-2024,11.16.67
Instagram Hub,Finance,,4481,146.4,100000,Free,0,Everyone,Finance,08-05-2025,14.14.100
Ultra Browser Pro,Photography,3.9,3,76.6,500,Free,0,Everyone,Photography;Creativity,08-01-2025,2.14.92
Dash Online 2026,  finance  ,4.1,4502,87.5,100000,Free,0,Everyone,Finance,20-02-2026,13.19.67
Drive Space 2026,Events,3.8,3,142.4,10,Free,0,Everyone 10+,Events,03-08-2024,10.16.82
Telegram 2023,Music,4.3,1012,141.3,100000,Paid,1.99,Everyone,Tools,25-11-2025,12.9.56
Next Tracker 2025,Beauty,3.8,11,51.7,1000,Free,0,Everyone,Beauty,28-01-2025,9.11.92
Crypto Chat Plus,VIDEO_PLAYERS,4.5,47,38.1,1000,Free,0,Everyone,Video Players,05-09-2024,6.14.43
Epic Craft Pro 2023,GAME,4.3,2,333.5,50,Free,0,Teen,Game;Strategy,04-04-2025,3.18.45
Health Max,Productivity,,2433,32.5,50000,Free,0,Everyone,Productivity,02-04-2025,11.13.31
Smart Maker Pro,Finance,4.3,229,29,5000,Free,0,Everyone,Finance,01-08-2025,9.12.75
Epic Pay App,Music,4.4,5,83.9,100,Free,0,Teen,Tools,10-05-2025,1.2.40
Epic Drive,Maps_And_Navigation,4.9,1830,32.3,50000,Free,0,Everyone,Maps And Navigation,08-04-2026,5.19.73
Telegram Pro 2026,finance,3.6,5,83,50,Free,0,Everyone 10+,Finance,25-06-2025,8.18.27
Easy Pay AI,  lifestyle  ,3.5,2617,133.7,100000,Paid,19.99,Everyone,Lifestyle,30-01-2026,10.5.74
Instagram Online,Business  ,,14432,135,1000000,Free,0,Everyone,Business,14-07-2024,6.15.9
Epic Craft 2023,SOCIAL,3.4,2028,60.3,100000,Free,0,Everyone,Family,01-03-2026,10.16.52
Crypto Fit Max,Music,4,1,18.4,50,Free,0,Everyone,Tools,20-12-2025,2.8.75
Lite Tracker 2026,Music,4,2,90.05,100,Free,0,Everyone,Tools;Creativity,23-12-2025,Varies with device
Easy Player Online,Productivity,4.9,15,81.9,500,Free,0,Mature 17+,Productivity,01-09-2025,9.3.45
Fit,Social,4.6,264840,122.6,10000000,Free,0,Teen,Education;Creativity,13-03-2026,6.1.24
Next Editor Max,game,5,11,90.05,1000,Free,0,Everyone,Game;Strategy,15-05-2025,Varies with device
Meta Maker,  Game,5,2437,1952.2,50000,Paid,2.99,Everyone,Game;Card,08-09-2025,9.9.22
Drive Now_7980,Social,4.8,122,90.05,5000,Free,0,Everyone,Family,25-12-2020,Varies with device
Quick VPN 2025,Social  ,4.3,3,109.3,50,Free,0,Everyone,Artificial Intelligence,01-12-2025,14.4.58
Next Craft Plus,Social,4.3,4,85,500,Free,0,Teen,Artificial Intelligence;Creativity,19-06-2025,8.3.66
Strike Space,productivity,3.6,1285,12.4,50000,Free,0,Everyone 10+,Productivity,20-06-2026,14.10.96
Craft Plus 2023,Game,4.3,4,1879.4,100,Free,0,Everyone,Game;Card,09-02-2025,6.11.8
Daily Maker_2343,Social,4.7,20,146.3,500,Free,0,Everyone,Family,22-04-2026,7.10.91
Meta Editor Go,Social,4,1,20.1,50,Free,0,Everyone,Family,13-06-2026,15.14.20
My Pay 2024,Video_Players,4.2,0,90.05,50,Free,0,Everyone,Video Players,07-06-2026,Varies with device
Hyper Craft Now,music,3.8,179,55.5,5000,Free,0,Everyone,Tools,25-03-2026,4.13.69
Hyper Maker 3D 2024,Social,3.7,36,90.05,1000,Free,0,Mature 17+,Family,10-11-2025,Varies with device
Ultra Telegram,Social,2.3,379,126.9,50000,Free,0,Teen,Family;Creativity,26-09-2025,2.16.88
Instagram Premium,Social,4.6,42814,127.2,1000000,Free,0,Everyone,Family;Creativity,28-03-2026,5.8.14
Tracker 2025,maps_and_navigation,4.7,83749,,5000000,Free,0,Teen,Maps And Navigation,30-11-2025,2.13.91
My Editor Premium,Game,4.3,1,,100,Free,0,Everyone,Game;RPG,01-10-2024,Varies with device
Smart Editor Space 2025,  News_And_Magazines,3.9,7,124.6,500,Free,0,Everyone,News And Magazines,06-01-2026,13.19.42
Crypto Telegram,Social,5,1732,40.2,50000,Free,0,Teen,Artificial Intelligence,30-10-2025,3.8.65
Epic Chat App,Productivity,4,3,79.4,10,Free,0,Everyone,Productivity,28-10-2025,1.16.38
Wallet Pro 2023,Travel_And_Local,5,6,61.3,500,Free,0,Everyone,Travel And Local,25-06-2026,6.16.100
Crypto VPN Go,Finance,4,0,30.8,10,Free,0,Everyone,Finance,14-06-2025,1.7.91
Lite Chat,Game,5,474,90.05,10000,Free,0,Everyone,Game;Casual,29-04-2026,Varies with device
Browser App,Game,3.7,3715,1178.9,100000,Free,0,Everyone,Game;Card,11-05-2026,15.11.52
Epic Learn 2024,Social,4,2,43.3,100,Free,0,Everyone,Family;Creativity,10-07-2025,13.16.60
Meta Dash,  Finance,3.1,1536,67,50000,Free,0,Everyone,Finance,15-05-2025,13.0.73
Epic Craft 2025,Music  ,,4,90.05,100,Free,0,Teen,Tools,15-09-2025,Varies with device
Drive Online,Social,3.9,10,31,1000,Free,0,Teen,Family,14-02-2025,9.19.84
My Fit Now,Social  ,4.2,5,96.8,100,Free,0,Everyone,Family,04-03-2026,2.7.77
Maker AI 2024,finance,4.4,199,71.4,5000,Free,0,Everyone 10+,Finance,18-02-2024,5.4.48
My Learn,Game,3.5,585,90.05,50000,Free,0,Teen,Game;Simulation,01-08-2023,Varies with device
Daily Connect Go,  social  ,4.1,8,6.8,500,Free,0,Teen,Artificial Intelligence,30-08-2024,7.12.48
Quick Strike App,Shopping  ,4.1,0,,10,Free,0,Everyone,Shopping,21-11-2025,4.1.22
Easy Browser Pro,Game,3.9,1745,649.5,50000,Free,0,Everyone 10+,Game;Puzzle,22-11-2025,5.15.85
Learn Space 2024,Social,4,0,125,10,Free,0,Everyone,Family,22-12-2025,7.5.73
Hyper Browser Plus,Social,4,3,90.05,10,Free,0,Everyone,Family,23-03-2025,Varies with device
Meta Fit Plus,Productivity,4,0,58.7,50,Free,0,Everyone,Productivity;Creativity,02-01-2025,5.20.25
Easy Health Pro,  game  ,4.3,0,415.3,50,Free,0,Teen,Game;Action,24-01-2026,2.0.17
WhatsApp Messenger,Social,4.6,12460594,90.05,500000000,Free,0,Teen,Family,15-01-2026,Varies with device
Learn Hub 2025,Finance  ,4,2,58.2,50,Free,0,Everyone,Finance,15-10-2024,2.19.8
My Browser Max,Photography,3.1,23,249.7,500,Free,0,Teen,Photography,27-11-2024,8.7.44
Hyper Drive Plus,game,4.3,1,688.1,50,Free,0,Everyone,Game;Card,06-05-2024,6.16.89
Meta Pay Online,social,3.9,3,73.5,10,Free,0,Everyone 10+,Social,22-11-2025,8.5.91
Editor 3D,  productivity  ,3.8,207595,77.1,5000000,Free,0,Everyone,Productivity,06-08-2024,10.1.29
Connect_8279,Music,3.2,37,5.9,5000,Free,0,Teen,Tools,02-05-2026,10.15.61
Easy Browser Plus,Game,3.7,11,90.05,500,Free,0,Everyone 10+,Game;Puzzle,10-08-2025,Varies with device
Pay_11307,Game,5,5,1901.1,50,Free,0,Everyone,Game;Action,18-02-2024,1.19.32
Neo Learn 2025,Music,3.7,30,17.7,1000,Free,0,Everyone,Tools,04-02-2025,11.6.10
Craft Hub 2023,Game,5,5,958.6,10,Free,0,Everyone,Game;Simulation,19-09-2023,10.13.61
Meta Browser,productivity,4.3,15,81.6,500,Free,0,Everyone,Productivity,09-11-2024,12.9.76
Editor AI 2023,weather,3.7,2413,107.9,50000,Free,0,Everyone 10+,Weather,07-11-2025,8.10.78
Tracker,Music,2.9,360830,24.1,10000000,Free,0,Everyone 10+,Tools,17-06-2025,2.11.33
Ultra Editor Premium,Social,3.4,5,92.3,500,Free,0,Everyone,Family;Creativity,21-07-2025,13.20.63
AI Wallet 2024,Music,3.4,109,62.6,10000,Free,0,Everyone 10+,Tools,18-09-2024,1.12.4
My Player Hub,Productivity,4.3,17239,110.3,500000,Free,0,Everyone,Productivity,19-03-2026,14.1.82
VPN Space,Finance,5,127,25.9,5000,Free,0,Teen,Finance,21-02-2025,13.6.21
Browser Pro,Social,3.9,23290,100.2,1000000,Free,0,Teen,Artificial Intelligence;Creativity,21-12-2025,1.3.91
Connect Pro,Social,4.4,1469,94.8,100000,Free,0,Everyone,Social,08-10-2024,7.18.97
Connect Max,Social,4.7,1561,6.1,50000,Free,0,Everyone,Education,04-09-2025,12.7.56
Super Dash 3D,Game,4.3,4,90.05,500,Free,0,Teen,Game;Puzzle,24-03-2025,Varies with device
VPN Go,  music  ,4.3,28,22.1,1000,Free,0,Everyone,Tools;Creativity,19-06-2025,14.6.27
Lite Strike Space,Game,3.1,205902,90.05,5000000,Free,0,Everyone,Game;Casual,02-03-2026,Varies with device
Quick Health Online,Game,4.4,283,90.05,10000,Free,0,Teen,Game;Casual,27-06-2024,Varies with device
Tracker_2275,Game  ,4.9,2882,90.05,100000,Free,0,Mature 17+,Game;Puzzle,06-07-2024,Varies with device
Wallet 3D_4090,social,4.3,2,,50,Free,0,Everyone,Artificial Intelligence,22-08-2025,1.15.64
Pro Player,PRODUCTIVITY,,949,19.4,50000,Free,0,Everyone,Productivity,15-12-2025,1.8.0
Dash_471,Game,,0,533.1,50,Free,0,Everyone,Game;Shooter,01-08-2025,5.3.33
Daily Maker 2025,Web3_And_Crypto  ,4.1,3,66,100,Free,0,Mature 17+,Web3 And Crypto,28-06-2024,10.9.25
AI Health 3D,Finance,4,3,10.7,10,Free,0,Everyone,Finance,16-10-2025,6.7.0
Crypto Craft Go,Finance,,1,113.6,50,Paid,0.99,Everyone,Finance,19-05-2026,15.5.78
Lite Drive AI,finance,4,3,37.8,50,Paid,1.99,Everyone,Finance,18-04-2024,13.8.85
Meta Tracker Space,Social,,0,118.9,50,Free,0,Everyone,Artificial Intelligence,17-06-2026,13.15.7
Smart Browser Premium,Game,3.3,19,1979.3,1000,Free,0,Everyone,Game;Board,28-10-2025,8.11.64
Craft Space 2026,Social,4.2,14,,500,Free,0,Teen,Social,08-03-2024,3.15.92
Pro Pay AI,Social  ,,22,127,500,Free,0,Teen,Artificial Intelligence,01-02-2026,3.17.2
Ultra Learn App,Finance,3,2527,68,100000,Free,0,Everyone,Finance,24-04-2026,2.16.62
Player 2023,social,3.6,32,125.2,1000,Free,0,Teen,Artificial Intelligence,15-05-2026,6.15.84
Meta Drive Hub,Social,3.9,2399,143.7,100000,Free,0,Mature 17+,Family,14-03-2023,15.16.59
VPN Online 2023,  finance  ,4,0,103.1,100,Free,0,Everyone,Finance,06-09-2024,13.18.18
Pay,food_and_drink,3.9,119672,118.1,5000000,Free,0,Everyone,Food And Drink,28-02-2026,12.2.40
Editor 2024,Game,4.5,150,90.05,10000,Free,0,Everyone 10+,Game;Simulation,01-12-2025,Varies with device
Hyper Maker Premium,Social,3.9,4,50.7,100,Free,0,Everyone,Social;Creativity,24-02-2026,14.19.21
Learn Now 2023,Finance  ,4.2,35,54.9,1000,Free,0,Teen,Finance,19-12-2025,11.17.13
Wallet Go 2025,  Web3_And_Crypto,4.1,2,56.9,10,Free,0,Mature 17+,Web3 And Crypto;Creativity,15-04-2026,9.18.98
Super Strike 2025,Productivity,4,2,18.6,100,Free,0,Everyone,Productivity;Creativity,13-07-2025,6.0.100
Quick Connect Hub,Business,3.8,1,41.9,50,Free,0,Everyone,Business,21-02-2026,2.3.65
Lite Facebook,Game,4.5,4600,90.05,500000,Free,0,Teen,Game;Action,20-02-2026,Varies with device
VPN Premium,  social  ,4,112317,26,10000000,Free,0,Everyone,Medical;Creativity,05-03-2025,6.0.21
Meta Learn 3D,Game,5,56,1941.1,5000,Free,0,Everyone 10+,Game;Puzzle,18-07-2025,2.2.37
Drive_6306,Books_And_Reference,,14,69.5,1000,Free,0,Everyone,Books And Reference,28-05-2025,2.11.4
Epic Editor Now,Productivity,4,4,92.5,500,Free,0,Teen,Productivity,14-12-2025,10.11.51
Ultra SnapChat,Game,4,21,90.05,500,Free,0,Everyone,Game;Strategy,28-09-2024,Varies with device
Easy Telegram Space,social,3.5,145,141.4,10000,Free,0,Everyone,Family,11-08-2025,1.0.60
Daily Instagram,Game,4.3,194,1648.2,5000,Free,0,Everyone,Game;Simulation,10-05-2026,4.2.14
Hyper Chat,Social,2.7,173,52,5000,Free,0,Everyone 10+,Social;Creativity,10-09-2022,4.17.83
Hyper Instagram Online,Communication,3.5,3580,,100000,Free,0,Everyone,Communication,19-08-2025,Varies with device
Smart Health 2023,Game,4.3,1,527.4,100,Free,0,Everyone,Game;Board,02-06-2024,13.8.26
Chat Now 2024,Food_And_Drink,4.4,264,108.2,10000,Free,0,Everyone,Food And Drink,16-06-2026,9.2.61
Epic Strike,Events,3.6,975,137.9,100000,Free,0,Everyone,Events,07-04-2026,4.12.24
Meta Strike,Social,5,6916,87.7,1000000,Free,0,Mature 17+,Family,13-08-2025,9.15.31
Daily Chat 3D,Productivity,3.6,19,123.9,500,Free,0,Everyone,Productivity;Creativity,21-05-2026,8.0.1
Lite Player 2025,Video_Players,4.2,2,209.9,100,Free,0,Everyone,Video Players,01-12-2022,12.10.51
Easy Dash Online 2025,Social,3.6,5,90.05,10,Free,0,Everyone,Family,05-06-2026,Varies with device
Neo Player,PRODUCTIVITY,4.2,138637,27.5,5000000,Free,0,Mature 17+,Productivity,28-03-2026,12.2.58
Super Editor Now 2024,Productivity,4,18412,50.2,500000,Free,0,Everyone,Productivity,22-08-2025,3.16.18
Hyper VPN Online,Social  ,3.9,2,50.1,10,Free,0,Everyone,Social,15-10-2025,5.18.100
Crypto Instagram,Social,3.9,8,94.9,1000,Free,0,Everyone,Artificial Intelligence,28-12-2024,5.13.10
Easy Browser,Social,3.7,5,67.7,500,Free,0,Everyone,Family,19-05-2025,2.11.85
Next Telegram 2024,Shopping,4.1,4,140.1,100,Free,0,Everyone,Shopping,30-09-2025,5.5.92
Next Connect,News_And_Magazines,4.6,14684,83.1,1000000,Free,0,Everyone,News And Magazines,11-06-2023,15.16.52
Epic Connect App 2026,Music,3.1,26,97.6,5000,Free,0,Adults only 18+,Tools,07-05-2026,10.0.13
Crypto Wallet Hub,Libraries_And_Demo,3.4,29,142.1,1000,Paid,1.99,Everyone,Libraries And Demo,15-05-2025,11.17.56
Editor Go 2023,Social,5,5,8.9,10,Free,0,Everyone,Family,07-02-2026,14.6.14
Super Dash Premium,Productivity,4,2,115.3,50,Free,0,Everyone,Productivity,24-06-2025,10.7.48
Facebook,Social  ,3.4,11487705,90.05,500000000,Free,0,Everyone,Education,22-10-2025,Varies with device
Tracker Space,Auto_And_Vehicles,3.3,3794,125.2,100000,Free,0,Everyone,Auto And Vehicles,06-08-2025,10.20.0
Wallet Pro 2023,Travel_And_Local,5,6,61.3,500,Free,0,Everyone,Travel And Local,25-06-2026,6.16.100
Easy Wallet 3D,Web3_And_Crypto  ,,419,92.6,10000,Free,0,Mature 17+,Web3 And Crypto;Creativity,07-08-2024,12.12.31
VPN 2023,Game,4.6,127,1812.6,5000,Free,0,Everyone,Game;Casual,26-10-2025,15.15.7
Telegram Pro 2024,Virtual_Reality,4,0,286.7,50,Free,0,Everyone,Virtual Reality,21-06-2024,15.19.58
Health App 2024,Productivity,4.4,15,24.2,500,Free,0,Everyone,Productivity,20-12-2025,4.12.10
Super Fit Go,Game,4.5,243,90.05,5000,Free,0,Teen,Game;Shooter,16-06-2026,Varies with device
Neo Instagram AI,  social  ,3.9,799,36.8,50000,Free,0,Mature 17+,Artificial Intelligence,04-04-2024,13.17.64
Daily Learn App,Photography,3.9,2,102.1,50,Free,0,Teen,Photography,02-07-2025,6.17.87
Health Online,Business,3,126,57.2,10000,Free,0,Everyone,Business,14-05-2026,11.7.35
